id,message_id,date,sender_id,first_name,last_name,username,message,media_type,media_path,reply_to,post_author,views,forwards,reactions
1,2516,2025-11-11 19:11:02,,,,,"🐉 Hello everyone!
I’ve been receiving a lot of messages lately 😅 To make your ordering process easier, please follow this short tutorial — it will help me give you the price of your order quickly, so you can make your payment and get your tracking number as soon as possible.

Thank you for your understanding and support 💪
– DragonRep Team",MessageMediaDocument,,,DirectShipping,,,👍 22 ❤ 9 🔥 3
2,2517,2025-11-12 07:32:04,727622748,sssssssss,,slashzeks,,,,,,,,
3,2518,2025-11-12 07:43:47,907855762,ł,,,,,,,,,,
4,2519,2025-11-19 08:18:57,834567586,Stanislav,,stanislave119,,,,,,,,❤ 1
5,2520,2025-11-25 19:18:05,2122836561,😶‍🌫️,,irviks_14_01,,,,,,,,
6,2521,2025-11-25 20:42:59,821919819,︎ ︎ ︎︎ ︎ ︎ ︎︎,,,,,,,,,,
7,2522,2025-11-25 21:14:09,,,,,"📢 New TikTok and Instagram Accounts !

Hello everyone 
Our old TikTok and Instagram accounts got banned 😭 so we’re starting fresh.  
Here are the new ones:

🎥 TikTok: https://www.tiktok.com/@dragonrep33?_r=1&_t=ZN-91hTUeV1rQE  

📸 Instagram: https://www.instagram.com/dragonrep33

Make sure to follow them to support us. We’ll be doing new lives, giveaways, and sharing important updates 🔥
If you appreciate what we do, go follow the new accounts and stay connected ❤️",,,,DirectShipping,,,❤ 13 ❤‍🔥 2 🥱 2 🤯 1
8,2523,2025-12-07 10:31:40,,,,,"AVAILABLE - RELEASE

- SUPREME FUX JACKET : https://noghost.x.yupoo.com/albums/205164770?uid=1

- PÄ*ERBÖYZ BLACK DENIM : https://noghost.x.yupoo.com/albums/218837449?uid=1

-SW*ATS DENIM BAGGY JEANS - GRAY : https://noghost.x.yupoo.com/albums/218837161?uid=1

- SW*ATS DENIM BAGGY JEANS - BLACK : https://noghost.x.yupoo.com/albums/218836991?uid=1

- SHINZO JACKET : https://noghost.x.yupoo.com/albums/218849180?uid=1

- PESO STONE WASH BAGGY JEANS : https://noghost.x.yupoo.com/albums/209482782?uid=1",MessageMediaPhoto,,,DirectShipping,,,❤ 4 🥱 2 😍 2
9,2524,2025-12-07 10:31:41,,,,,,MessageMediaPhoto,,,DirectShipping,,,
10,2525,2025-12-07 10:31:41,,,,,,MessageMediaPhoto,,,DirectShipping,,,
11,2526,2025-12-07 10:31:42,,,,,,MessageMediaPhoto,,,DirectShipping,,,
12,2527,2025-12-07 10:31:42,,,,,,MessageMediaPhoto,,,DirectShipping,,,
13,2528,2025-12-07 10:31:43,,,,,,MessageMediaPhoto,,,DirectShipping,,,
14,2529,2025-12-07 10:31:43,,,,,,MessageMediaPhoto,,,DirectShipping,,,
15,2530,2025-12-07 10:31:44,,,,,,MessageMediaPhoto,,,DirectShipping,,,
16,2531,2025-12-07 10:31:44,,,,,,MessageMediaPhoto,,,DirectShipping,,,
17,2532,2025-12-07 10:31:47,,,,,,MessageMediaPhoto,,,DirectShipping,,,
18,2534,2025-12-11 19:26:32,,,,,"AVAILABLE - RELEASE 🚨 

- CLICK HERE ➡️ [TRUE RELIGION JEANS](https://noghost.x.yupoo.com/albums/219477961?uid=1)

- CLICK HERE ➡️[NOCTA PUFFER JACKET](https://noghost.x.yupoo.com/albums/219447540?uid=1)

- CLICK HERE ➡️ [POSER BLACK SET](https://noghost.x.yupoo.com/albums/219732979?uid=1)

- CLICK HERE ➡️ [MERTRA DOUBLE HOOD BLACK SET RESTOCK](https://noghost.x.yupoo.com/albums/214898747?uid=1)",MessageMediaPhoto,,,DirectShipping,,,⚡ 3 🔥 3 ❤ 2
19,2535,2025-12-11 19:26:32,,,,,,MessageMediaPhoto,,,DirectShipping,,,
20,2536,2025-12-11 19:26:33,,,,,,MessageMediaPhoto,,,DirectShipping,,,
21,2537,2025-12-11 19:26:33,,,,,,MessageMediaPhoto,,,DirectShipping,,,
22,2538,2025-12-11 19:26:34,,,,,,MessageMediaPhoto,,,DirectShipping,,,
23,2539,2025-12-11 19:26:34,,,,,,MessageMediaPhoto,,,DirectShipping,,,
24,2540,2025-12-11 19:26:35,,,,,,MessageMediaPhoto,,,DirectShipping,,,
25,2541,2025-12-11 19:26:35,,,,,,MessageMediaPhoto,,,DirectShipping,,,
26,2542,2025-12-11 19:26:36,,,,,,MessageMediaPhoto,,,DirectShipping,,,
27,2543,2025-12-11 19:26:39,,,,,,MessageMediaPhoto,,,DirectShipping,,,
